"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"1",39900,456,39900,"Reno, NV","Reno, NV Metro Area","M1",1,"G3110",17004051224,623033216,40.5007953,-119.7311608,152,488,20,2568,19.0031152647975,5.9190031152648,0.778816199376947
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,489,2456,153,8428,29.140958709065,5.80208827717133,1.81537731371618
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,56,129,0,864,14.9305555555556,6.48148148148148,0
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,45,27,4,748,3.6096256684492,6.01604278074866,0.53475935828877
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,60,77,12,1400,5.5,4.28571428571429,0.857142857142857
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,112,190,18,1182,16.0744500846024,9.47546531302877,1.52284263959391
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,91,248,5,1160,21.3793103448276,7.8448275862069,0.431034482758621
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,907,3587,296,10318,34.7644892421012,8.79046326807521,2.86877301802675
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,57,143,4,564,25.354609929078,10.1063829787234,0.709219858156028
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,617,1706,108,9109,18.728729827643,6.7735206938193,1.18564057525524
"11",41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area","M1",1,"G3110",6938387443,40386344,36.9084718,-121.3713721,353,1884,144,4598,40.9743366681166,7.67725097868639,3.13179643323184
"12",41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area","M1",1,"G3110",8496731189,1270747397,36.240107,-121.3155723,50,401,7,902,44.4567627494457,5.54323725055432,0.776053215077605
"13",44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area","M1",1,"G3110",3603647025,91127543,37.9349815,-121.272244,59,349,14,1273,27.4155538098979,4.63472113118617,1.09976433621367
"14",40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area","M1",1,"G3110",13195191548,548573735,38.7896779,-121.0057504,250,1085,44,4852,22.3619126133553,5.1525144270404,0.90684253915911
"15",42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","M1",1,"G3110",8548549787,815580311,35.3852263,-120.4475418,57,58,16,438,13.2420091324201,13.013698630137,3.65296803652968
"16",44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area","M1",1,"G3110",14611513157,272295323,48.1890407,-117.5732186,94,71,0,1164,6.09965635738832,8.07560137457045,0
"17",41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area","M1",1,"G3110",10895227071,826282961,33.0236041,-116.7761174,507,1752,134,6561,26.7032464563329,7.72748056698674,2.04237158969669
"18",41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area","M1",1,"G3110",19901615700,1055940277,40.5727871,-112.9531375,284,722,41,4817,14.9885821050446,5.89578575877102,0.851152169400042
"19",42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area","M1",1,"G3110",4945412532,3645423,35.5143241,-105.9657706,44,64,5,400,16,11,1.25
"20",41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area","M1",1,"G3110",18939886213,150518692,29.4330599,-98.6069734,236,723,42,4198,17.2224868985231,5.62172463077656,1.00047641734159
"21",43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area","M1",1,"G3110",6671079051,27077952,43.4954205,-96.9953387,358,296,0,4111,7.20019459985405,8.7083434687424,0
"22",41060,378,41060,"St. Cloud, MN","St. Cloud, MN Metro Area","M1",1,"G3110",4535657122,134115189,45.5930312,-94.4883635,63,138,1,720,19.1666666666667,8.75,0.138888888888889
"23",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,41,29,0,766,3.78590078328982,5.35248041775457,0
"24",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,76,15,8,1144,1.31118881118881,6.64335664335664,0.699300699300699
"25",41180,476,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area","M1",1,"G3110",20366579725,565384553,38.7404035,-90.3459564,407,346,34,7357,4.70300394182411,5.53214625526709,0.462144896017398
"26",44100,522,44100,"Springfield, IL","Springfield, IL Metro Area","M1",1,"G3110",3063280701,25218803,39.828565,-89.6962052,29,23,0,561,4.09982174688057,5.16934046345811,0
"27",43780,515,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area","M1",1,"G3110",2455267304,56251230,41.7749808,-86.1230143,10,52,1,613,8.48287112561175,1.63132137030995,0.163132137030995
"28",40980,474,40980,"Saginaw, MI","Saginaw, MI Metro Area","M1",1,"G3110",2073181634,40159719,43.3282667,-84.05541,22,4,0,459,0.871459694989107,4.79302832244009,0
"29",44220,212,44220,"Springfield, OH","Springfield, OH Metro Area","M1",1,"G3110",1029469370,13070242,39.9170315,-83.783676,0,4,0,209,1.91387559808612,0,0
"30",42340,496,42340,"Savannah, GA","Savannah, GA Metro Area","M1",1,"G3110",3477941518,587429320,32.1091449,-81.2730939,100,74,4,1383,5.35068691250904,7.23065798987708,0.289226319595083
"31",40220,NA,40220,"Roanoke, VA","Roanoke, VA Metro Area","M1",1,"G3110",4839992437,72598010,37.2862262,-79.9469346,10,20,0,557,3.59066427289048,1.79533213644524,0
"32",39580,450,39580,"Raleigh, NC","Raleigh, NC Metro Area","M1",1,"G3110",5485858939,75685838,35.7567464,-78.4604412,167,410,51,2706,15.1515151515152,6.17147080561715,1.88470066518847
"33",40380,464,40380,"Rochester, NY","Rochester, NY Metro Area","M1",1,"G3110",8459597611,5126899048,43.148038,-77.5232575,153,149,10,2392,6.22909698996656,6.39632107023411,0.418060200668896
"34",40060,NA,40060,"Richmond, VA","Richmond, VA Metro Area","M1",1,"G3110",11852491242,327650578,37.4634618,-77.4751772,221,347,19,3714,9.34302638664513,5.9504577275175,0.511577813677975
"35",39740,428,39740,"Reading, PA","Reading, PA Metro Area","M1",1,"G3110",2218040257,24252061,40.4139565,-75.9268598,46,116,6,1052,11.0266159695817,4.37262357414449,0.570342205323194
"36",42540,NA,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton--Wilkes-Barre--Hazleton, PA Metro Area","M1",1,"G3110",4523197900,77170603,41.3228806,-75.8981877,58,78,5,1236,6.31067961165049,4.69255663430421,0.40453074433657
"37",41540,NA,41540,"Salisbury, MD-DE","Salisbury, MD-DE Metro Area","M1",1,"G3110",5435122260,2080604052,38.3995211,-75.4782615,37,15,9,496,3.0241935483871,7.45967741935484,1.81451612903226
"38",48140,554,48140,"Wausau, WI","Wausau, WI Metro Area","M1",1,"G3110",4001539245,81145909,44.8980363,-89.757823,54,16,4,692,2.3121387283237,7.80346820809249,0.578034682080925
"39",45300,NA,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area","M1",1,"G3110",6512932308,2115146547,28.1259071,-82.4652858,417,716,74,5699,12.563607650465,7.31707317073171,1.29847341638884
"40",46700,488,46700,"Vallejo-Fairfield, CA","Vallejo-Fairfield, CA Metro Area","M1",1,"G3110",2128379537,218647641,38.2672255,-121.939594,62,390,17,1023,38.1231671554252,6.06060606060606,1.66177908113392
"41",49420,NA,49420,"Yakima, WA","Yakima, WA Metro Area","M1",1,"G3110",11125450097,41102141,46.4565581,-120.7401446,33,175,5,721,24.2718446601942,4.57697642163662,0.693481276005548
"42",47300,546,47300,"Visalia-Porterville, CA","Visalia-Porterville, CA Metro Area","M1",1,"G3110",12494776875,37391591,36.2288241,-118.781061,29,228,4,807,28.2527881040892,3.59355638166047,0.495662949194548
"43",46060,536,46060,"Tucson, AZ","Tucson, AZ Metro Area","M1",1,"G3110",23794325411,5273054,32.1285226,-111.7830267,152,369,31,1979,18.6457806973219,7.68064679130874,1.56644770085902
"44",48620,556,48620,"Wichita, KS","Wichita, KS Metro Area","M1",1,"G3110",12981364606,92855414,37.6298308,-97.3988319,117,275,12,2871,9.57854406130268,4.07523510971787,0.417972831765935
"45",47020,544,47020,"Victoria, TX","Victoria, TX Metro Area","M1",1,"G3110",4491432535,36383641,28.7314546,-97.1969934,72,19,1,844,2.25118483412322,8.53080568720379,0.118483412322275
"46",47380,NA,47380,"Waco, TX","Waco, TX Metro Area","M1",1,"G3110",4668694471,81529872,31.4272264,-97.0934727,16,92,6,543,16.9429097605893,2.94659300184162,1.10497237569061
"47",46140,538,46140,"Tulsa, OK","Tulsa, OK Metro Area","M1",1,"G3110",16237998497,493550071,36.2541502,-96.1749783,181,152,2,3049,4.98524106264349,5.93637258117416,0.0655952771400459
"48",45820,NA,45820,"Topeka, KS","Topeka, KS Metro Area","M1",1,"G3110",8372470747,148307399,39.0413888,-95.8026393,54,27,0,1222,2.20949263502455,4.4189852700491,0
"49",47940,NA,47940,"Waterloo-Cedar Falls, IA","Waterloo-Cedar Falls, IA Metro Area","M1",1,"G3110",3893008619,28167535,42.5367962,-92.471608,46,56,4,1092,5.12820512820513,4.21245421245421,0.366300366300366
"50",46220,NA,46220,"Tuscaloosa, AL","Tuscaloosa, AL Metro Area","M1",1,"G3110",7373818335,131651808,33.1606112,-87.7151664,8,49,2,382,12.8272251308901,2.09424083769634,0.523560209424084
"51",45220,533,45220,"Tallahassee, FL","Tallahassee, FL Metro Area","M1",1,"G3110",6184050070,556601745,30.3864276,-84.2804098,43,52,2,446,11.6591928251121,9.64125560538117,0.448430493273543
"52",45780,534,45780,"Toledo, OH","Toledo, OH Metro Area","M1",1,"G3110",3531467479,673611709,41.5439974,-83.6908887,55,43,1,1320,3.25757575757576,4.16666666666667,0.0757575757575758
"53",47580,356,47580,"Warner Robins, GA","Warner Robins, GA Metro Area","M1",1,"G3110",2006923538,19556095,32.4015944,-83.6350953,6,22,0,383,5.74412532637076,1.56657963446475,0
"54",46660,NA,46660,"Valdosta, GA","Valdosta, GA Metro Area","M1",1,"G3110",4116441967,102347892,30.8274985,-83.2421316,36,13,0,426,3.05164319248826,8.45070422535211,0
"55",49660,566,49660,"Youngstown-Warren-Boardman, OH-PA","Youngstown-Warren-Boardman, OH-PA Metro Area","M1",1,"G3110",4409156947,108718491,41.2363015,-80.5618679,42,26,0,973,2.672147995889,4.31654676258993,0
"56",49180,268,49180,"Winston-Salem, NC","Winston-Salem, NC Metro Area","M1",1,"G3110",5201851143,80932198,36.0788515,-80.3450642,69,84,1,896,9.375,7.70089285714286,0.111607142857143
"57",47900,548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","M1",1,"G3110",16178106918,1124017724,38.8169283,-77.4482275,1776,7418,541,31374,23.6437814751068,5.66073819085867,1.72435774845413
"58",49620,276,49620,"York-Hanover, PA","York-Hanover, PA Metro Area","M1",1,"G3110",2341884216,16941833,39.9217514,-76.7288887,56,33,3,991,3.32996972754793,5.65085771947528,0.302724520686176
"59",47260,545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","M1",1,"G3110",6972345097,3214108085,36.8560812,-76.3737908,138,255,11,3997,6.37978483862897,3.45258944208156,0.275206404803603
"60",46540,NA,46540,"Utica-Rome, NY","Utica-Rome, NY Metro Area","M1",1,"G3110",6795981620,237487618,43.3322887,-75.173169,16,6,0,670,0.895522388059702,2.38805970149254,0
"61",47220,428,47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ Metro Area","M1",1,"G3110",1252937239,502091171,39.3283874,-75.1216435,8,4,0,317,1.26182965299685,2.52365930599369,0
"62",45940,408,45940,"Trenton, NJ","Trenton, NJ Metro Area","M1",1,"G3110",581629671,11189320,40.2825027,-74.703724,13,101,4,587,17.206132879046,2.21465076660988,0.681431005110733
"63",36420,416,36420,"Oklahoma City, OK","Oklahoma City, OK Metro Area","M1",1,"G3110",14275025160,181554378,35.4309676,-97.5069659,264,297,7,3990,7.44360902255639,6.61654135338346,0.175438596491228
"64",39540,376,39540,"Racine, WI","Racine, WI Metro Area","M1",1,"G3110",861267826,1190381792,42.7540747,-87.414676,31,57,0,815,6.99386503067485,3.80368098159509,0
"65",36500,500,36500,"Olympia-Tumwater, WA","Olympia-Tumwater, WA Metro Area","M1",1,"G3110",1869969897,133393179,46.9358216,-122.8301524,54,108,13,832,12.9807692307692,6.49038461538462,1.5625
"66",38900,440,38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area","M1",1,"G3110",17311313130,356212910,45.6006204,-122.4843457,707,1149,94,7948,14.4564670357323,8.89531957725214,1.18268746854555
"67",34900,488,34900,"Napa, CA","Napa, CA Metro Area","M1",1,"G3110",1938262912,104154062,38.5070999,-122.3259045,30,123,7,466,26.3948497854077,6.43776824034335,1.50214592274678
"68",37100,348,37100,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA Metro Area","M1",1,"G3110",4773381391,945947791,34.3587415,-119.1331432,178,618,55,1917,32.2378716744914,9.28534167970788,2.86906624934794
"69",36260,482,36260,"Ogden-Clearfield, UT","Ogden-Clearfield, UT Metro Area","M1",1,"G3110",18725460886,3639530112,41.6218833,-113.0436525,128,171,13,2402,7.11906744379684,5.32889258950874,0.541215653621982
"70",39140,NA,39140,"Prescott, AZ","Prescott, AZ Metro Area","M1",1,"G3110",21039920080,11501575,34.6312117,-112.5773855,50,23,5,487,4.72279260780287,10.2669404517454,1.02669404517454
"71",39340,482,39340,"Provo-Orem, UT","Provo-Orem, UT Metro Area","M1",1,"G3110",13973702153,400847890,39.872067,-112.3590592,108,227,10,1770,12.8248587570621,6.10169491525424,0.564971751412429
"72",38060,NA,38060,"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ Metro Area","M1",1,"G3110",37723752759,86675785,33.1857653,-112.0678624,559,1482,127,7803,18.9926951172626,7.16391131616045,1.62757913622966
"73",39380,444,39380,"Pueblo, CO","Pueblo, CO Metro Area","M1",1,"G3110",6179911297,30284241,38.1706581,-104.4898924,52,74,3,901,8.21309655937847,5.77136514983352,0.332963374028857
"74",36540,420,36540,"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA Metro Area","M1",1,"G3110",11266396052,148188348,41.2904587,-95.9999701,359,636,29,6684,9.51526032315978,5.37103530819868,0.433871932974267
"75",35380,406,35380,"New Orleans-Metairie, LA","New Orleans-Metairie, LA Metro Area","M1",1,"G3110",8293551780,12101115061,29.805532,-89.7013821,173,205,12,2518,8.14138204924543,6.87053216838761,0.476568705321684
"76",37900,426,37900,"Peoria, IL","Peoria, IL Metro Area","M1",1,"G3110",6399733016,121934958,40.7882548,-89.514745,25,47,0,765,6.1437908496732,3.26797385620915,0
