"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"1",39820,454,39820,"Redding, CA","Redding, CA Metro Area","M1",1,"G3110",9778188572,186530168,40.7605142,-122.0435556,36,10,3,571,1.75131348511384,6.30472854640981,0.525394045534151
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,531,2528,175,8637,29.2694222530971,6.14796804445988,2.02616649299525
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,73,99,8,726,13.6363636363636,10.0550964187328,1.10192837465565
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,35,78,7,723,10.7883817427386,4.84094052558783,0.968188105117566
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,53,107,0,1430,7.48251748251748,3.70629370629371,0
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,81,177,33,824,21.4805825242718,9.83009708737864,4.00485436893204
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,69,233,8,1273,18.3032207384132,5.42026708562451,0.628436763550668
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,791,3488,309,9900,35.2323232323232,7.98989898989899,3.12121212121212
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,66,121,6,728,16.6208791208791,9.06593406593407,0.824175824175824
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,555,1950,133,8781,22.2070379227878,6.32046463956269,1.51463386857989
"11",41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area","M1",1,"G3110",6938387443,40386344,36.9084718,-121.3713721,180,1977,87,4276,46.2347988774556,4.20954162768943,2.03461178671656
"12",41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area","M1",1,"G3110",8496731189,1270747397,36.240107,-121.3155723,55,329,10,819,40.1709401709402,6.71550671550672,1.22100122100122
"13",44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area","M1",1,"G3110",3603647025,91127543,37.9349815,-121.272244,55,448,19,1436,31.1977715877437,3.83008356545961,1.32311977715877
"14",40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area","M1",1,"G3110",13195191548,548573735,38.7896779,-121.0057504,254,1087,71,4774,22.7691663175534,5.32048596564726,1.48722245496439
"15",42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","M1",1,"G3110",8548549787,815580311,35.3852263,-120.4475418,42,59,9,518,11.3899613899614,8.10810810810811,1.73745173745174
"16",42200,NA,42200,"Santa Maria-Santa Barbara, CA","Santa Maria-Santa Barbara, CA Metro Area","M1",1,"G3110",7083927512,2729816973,34.5370572,-120.0399729,85,215,4,902,23.8359201773836,9.42350332594235,0.443458980044346
"17",44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area","M1",1,"G3110",14611513157,272295323,48.1890407,-117.5732186,102,33,4,1393,2.36898779612347,7.32232591529074,0.287150035893754
"18",41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area","M1",1,"G3110",10895227071,826282961,33.0236041,-116.7761174,550,1975,159,7147,27.6339722960683,7.69553658877851,2.22470966839233
"19",41100,NA,41100,"St. George, UT","St. George, UT Metro Area","M1",1,"G3110",6285672118,9134289,37.2625308,-113.4878003,69,59,9,562,10.4982206405694,12.2775800711744,1.60142348754448
"20",41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area","M1",1,"G3110",19901615700,1055940277,40.5727871,-112.9531375,337,933,44,5460,17.0879120879121,6.17216117216117,0.805860805860806
"21",42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area","M1",1,"G3110",4945412532,3645423,35.5143241,-105.9657706,113,302,28,1143,26.421697287839,9.88626421697288,2.44969378827647
"22",41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area","M1",1,"G3110",18939886213,150518692,29.4330599,-98.6069734,278,745,88,4745,15.7007376185458,5.85879873551106,1.85458377239199
"23",43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area","M1",1,"G3110",6671079051,27077952,43.4954205,-96.9953387,309,240,9,3715,6.46029609690444,8.31763122476447,0.242261103633917
"24",43300,206,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area","M1",1,"G3110",2415989108,120124595,33.6245321,-96.6757378,40,26,4,491,5.29531568228106,8.14663951120163,0.814663951120163
"25",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,77,22,0,1903,1.15606936416185,4.04624277456647,0
"26",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,64,13,0,1021,1.27326150832517,6.26836434867777,0
"27",41180,476,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area","M1",1,"G3110",20366579725,565384553,38.7404035,-90.3459564,356,367,30,5865,6.25745950554135,6.06990622335891,0.51150895140665
"28",44100,522,44100,"Springfield, IL","Springfield, IL Metro Area","M1",1,"G3110",3063280701,25218803,39.828565,-89.6962052,27,16,0,680,2.35294117647059,3.97058823529412,0
"29",43780,515,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area","M1",1,"G3110",2455267304,56251230,41.7749808,-86.1230143,31,28,0,669,4.18535127055306,4.63378176382661,0
"30",40980,474,40980,"Saginaw, MI","Saginaw, MI Metro Area","M1",1,"G3110",2073181634,40159719,43.3282667,-84.05541,15,4,0,404,0.99009900990099,3.71287128712871,0
