"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"1",39900,456,39900,"Reno, NV","Reno, NV Metro Area","M1",1,"G3110",17004051224,623033216,40.5007953,-119.7311608,125,526,30,2463,21.3560698335363,5.07511165245635,1.21802679658952
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,421,2301,120,8407,27.3700487688831,5.0077316521946,1.42738194361841
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,75,85,0,853,9.96483001172333,8.79249706916764,0
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,34,24,2,720,3.33333333333333,4.72222222222222,0.277777777777778
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,62,124,4,1479,8.38404327248141,4.1920216362407,0.270453008789723
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,119,134,23,1124,11.9217081850534,10.5871886120996,2.04626334519573
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,56,192,7,1119,17.1581769436997,5.00446827524576,0.625558534405719
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,765,3723,246,10472,35.5519480519481,7.30519480519481,2.34912146676853
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,63,134,5,624,21.474358974359,10.0961538461538,0.801282051282051
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,672,1749,142,9220,18.9696312364425,7.2885032537961,1.54013015184382
"11",41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area","M1",1,"G3110",6938387443,40386344,36.9084718,-121.3713721,313,2102,132,4734,44.4021968736798,6.61174482467258,2.78833967046895
"12",41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area","M1",1,"G3110",8496731189,1270747397,36.240107,-121.3155723,52,458,13,1050,43.6190476190476,4.95238095238095,1.23809523809524
"13",44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area","M1",1,"G3110",3603647025,91127543,37.9349815,-121.272244,79,421,12,1367,30.7973664959766,5.77907827359181,0.877834674469641
"14",40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area","M1",1,"G3110",13195191548,548573735,38.7896779,-121.0057504,289,1031,87,4755,21.6824395373291,6.07781282860147,1.82965299684543
"15",42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","M1",1,"G3110",8548549787,815580311,35.3852263,-120.4475418,66,76,11,433,17.5519630484988,15.2424942263279,2.54041570438799
"16",44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area","M1",1,"G3110",14611513157,272295323,48.1890407,-117.5732186,110,73,4,1172,6.22866894197952,9.38566552901024,0.341296928327645
"17",41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area","M1",1,"G3110",10895227071,826282961,33.0236041,-116.7761174,499,1903,132,6698,28.4114661092864,7.4499850701702,1.97073753359212
"18",41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area","M1",1,"G3110",19901615700,1055940277,40.5727871,-112.9531375,205,706,19,4788,14.7451963241437,4.28153717627402,0.396825396825397
"19",42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area","M1",1,"G3110",4945412532,3645423,35.5143241,-105.9657706,70,63,4,398,15.8291457286432,17.5879396984925,1.00502512562814
"20",41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area","M1",1,"G3110",18939886213,150518692,29.4330599,-98.6069734,209,659,50,4238,15.5497876356772,4.93157149598867,1.17980179329873
"21",43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area","M1",1,"G3110",6671079051,27077952,43.4954205,-96.9953387,336,272,12,3792,7.17299578059072,8.86075949367089,0.316455696202532
"22",41060,378,41060,"St. Cloud, MN","St. Cloud, MN Metro Area","M1",1,"G3110",4535657122,134115189,45.5930312,-94.4883635,84,140,1,733,19.0995907230559,11.4597544338336,0.136425648021828
"23",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,45,11,0,788,1.39593908629442,5.71065989847716,0
"24",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,130,26,11,1123,2.31522707034728,11.5761353517364,0.979519145146928
