"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","ind2","TOTAL","INDUS","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"27",43300,206,43300,"Sherman-Denison, TX","Sherman-Denison, TX Metro Area","M1",1,"G3110",2415989108,120124595,33.6245321,-96.6757378,35,26,4,770,499,10,5.21042084168337,7.01402805611222,0.801603206412826
"28",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,87,31,2,770,1856,10,1.67025862068966,4.6875,0.107758620689655
"29",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,83,47,8,770,983,10,4.78128179043744,8.44354018311292,0.81383519837233
"30",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,83,47,8,8470,983,10,4.78128179043744,8.44354018311292,0.81383519837233
"31",41180,476,41180,"St. Louis, MO-IL","St. Louis, MO-IL Metro Area","M1",1,"G3110",20366579725,565384553,38.7404035,-90.3459564,322,406,12,770,5978,10,6.79156908665105,5.3864168618267,0.200736032117765
"32",44100,522,44100,"Springfield, IL","Springfield, IL Metro Area","M1",1,"G3110",3063280701,25218803,39.828565,-89.6962052,46,25,0,7390,633,10,3.94944707740916,7.26698262243286,0
"33",43780,515,43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI Metro Area","M1",1,"G3110",2455267304,56251230,41.7749808,-86.1230143,17,19,0,770,596,10,3.18791946308725,2.85234899328859,0
"34",40980,474,40980,"Saginaw, MI","Saginaw, MI Metro Area","M1",1,"G3110",2073181634,40159719,43.3282667,-84.05541,14,28,0,7280,359,10,7.79944289693593,3.89972144846797,0
"35",42340,496,42340,"Savannah, GA","Savannah, GA Metro Area","M1",1,"G3110",3477941518,587429320,32.1091449,-81.2730939,51,81,6,7970,951,10,8.51735015772871,5.36277602523659,0.630914826498423
"36",40220,NA,40220,"Roanoke, VA","Roanoke, VA Metro Area","M1",1,"G3110",4839992437,72598010,37.2862262,-79.9469346,10,60,2,770,428,10,14.018691588785,2.33644859813084,0.467289719626168
