"","X","state","Immi","Entre","ImmiEntre","n","ImmiRate","EntreRate","ImmiEntreRate_1","ImmiEntreRate_2","Year","ST"
"863",47,91,2774,1056,194,15980,17.36,6.61,18.37,6.99,2016,"Washington"
"864",48,92,1790,1164,130,13791,12.98,8.44,11.17,7.26,2016,"Oregon"
"865",49,93,27173,6025,2205,80670,33.68,7.47,36.6,8.11,2016,"California"
"866",50,94,1070,686,59,11628,9.2,5.9,8.6,5.51,2016,"Alaska"
"867",51,95,3173,851,183,13709,23.15,6.21,21.5,5.77,2016,"Hawaii"
"868",1,11,240,827,8,7846,3.06,10.54,0.97,3.33,2017,"Maine"
"869",2,12,896,912,81,11868,7.55,7.68,8.88,9.04,2017,"New Hampshire"
"870",3,13,499,1115,57,11123,4.49,10.02,5.11,11.42,2017,"Vermont"
"871",4,14,4103,1155,257,19085,21.5,6.05,22.25,6.26,2017,"Massachusetts"
"872",5,15,1410,466,64,8093,17.42,5.76,13.73,4.54,2017,"Rhode Island"
"873",6,16,1647,550,120,9017,18.27,6.1,21.82,7.29,2017,"Connecticut"
"874",7,21,9035,2101,538,36494,24.76,5.76,25.61,5.95,2017,"New York"
"875",8,22,4989,983,258,17562,28.41,5.6,26.25,5.17,2017,"New Jersey"
"876",9,23,2021,1401,161,24217,8.35,5.79,11.49,7.97,2017,"Pennsylvania"
"877",10,31,1036,1186,91,22689,4.57,5.23,7.67,8.78,2017,"Ohio"
"878",11,32,965,787,83,14462,6.67,5.44,10.55,8.6,2017,"Indiana"
"879",12,33,4544,1542,322,25674,17.7,6.01,20.88,7.09,2017,"Illinois"
"880",13,34,1711,1062,86,20300,8.43,5.23,8.1,5.03,2017,"Michigan"
"881",14,35,752,846,63,12165,6.18,6.95,7.45,8.38,2017,"Wisconsin"
"882",15,41,1293,877,44,11569,11.18,7.58,5.02,3.4,2017,"Minnesota"
"883",16,42,740,653,34,9723,7.61,6.72,5.21,4.59,2017,"Iowa"
"884",17,43,676,806,32,12524,5.4,6.44,3.97,4.73,2017,"Missouri"
"885",18,44,727,1210,17,13151,5.53,9.2,1.4,2.34,2017,"North Dakota"
"886",19,45,364,932,20,9657,3.77,9.65,2.15,5.49,2017,"South Dakota"
"887",20,46,1038,890,49,10684,9.72,8.33,5.51,4.72,2017,"Nebraska"
"888",21,47,1095,660,52,10981,9.97,6.01,7.88,4.75,2017,"Kansas"
"889",22,51,1204,497,79,9367,12.85,5.31,15.9,6.56,2017,"Delaware"
"890",23,52,2413,680,179,11528,20.93,5.9,26.32,7.42,2017,"Maryland"
"891",24,53,2728,843,157,16241,16.8,5.19,18.62,5.76,2017,"Washington, D.C."
"892",25,54,2950,893,206,16717,17.65,5.34,23.07,6.98,2017,"Virginia"
"893",26,55,369,819,20,18834,1.96,4.35,2.44,5.42,2017,"West Virginia"
"894",27,56,2280,1137,173,20084,11.35,5.66,15.22,7.59,2017,"North Carolina"
"895",28,57,744,725,72,13469,5.52,5.38,9.93,9.68,2017,"South Carolina"
"896",29,58,2637,1318,200,20414,12.92,6.46,15.17,7.58,2017,"Georgia"
"897",30,59,9909,2992,1106,37962,26.1,7.88,36.97,11.16,2017,"Florida"
"898",31,61,569,605,28,11265,5.05,5.37,4.63,4.92,2017,"Kentucky"
"899",32,62,1278,1101,99,17119,7.47,6.43,8.99,7.75,2017,"Tennessee"
"900",33,63,784,984,58,18223,4.3,5.4,5.89,7.4,2017,"Alabama"
"901",34,64,396,814,42,16278,2.43,5,5.16,10.61,2017,"Mississippi"
"902",35,71,1143,867,63,15979,7.15,5.43,7.27,5.51,2017,"Arkansas"
"903",36,72,1156,1308,174,20114,5.75,6.5,13.3,15.05,2017,"Louisiana"
