"","X","state","Immi","Entre","ImmiEntre","n","ImmiRate","EntreRate","ImmiEntreRate_1","ImmiEntreRate_2","Year","ST"
"131",29,58,1025,905,66,13787,7.43,6.56,7.29,6.44,2001,"Georgia"
"132",30,59,8944,3460,662,40057,22.33,8.64,19.13,7.4,2001,"Florida"
"133",31,61,376,867,16,12719,2.96,6.82,1.85,4.26,2001,"Kentucky"
"134",32,62,474,874,36,11957,3.96,7.31,4.12,7.59,2001,"Tennessee"
"135",33,63,289,786,15,13549,2.13,5.8,1.91,5.19,2001,"Alabama"
"136",34,64,218,622,13,9465,2.3,6.57,2.09,5.96,2001,"Mississippi"
"137",35,71,397,935,21,11107,3.57,8.42,2.25,5.29,2001,"Arkansas"
"138",36,72,291,701,8,10600,2.75,6.61,1.14,2.75,2001,"Louisiana"
"139",37,73,581,1152,28,12489,4.65,9.22,2.43,4.82,2001,"Oklahoma"
"140",38,74,8007,3106,546,41933,19.09,7.41,17.58,6.82,2001,"Texas"
"141",39,81,172,1328,25,11109,1.55,11.95,1.88,14.53,2001,"Montana"
"142",40,82,718,1327,26,12746,5.63,10.41,1.96,3.62,2001,"Idaho"
"143",41,83,259,1504,19,12475,2.08,12.06,1.26,7.34,2001,"Wyoming"
"144",42,84,1794,1599,112,16544,10.84,9.67,7,6.24,2001,"Colorado"
"145",43,85,1185,743,55,11148,10.63,6.66,7.4,4.64,2001,"New Mexico"
"146",44,86,2330,916,123,12703,18.34,7.21,13.43,5.28,2001,"Arizona"
"147",45,87,1208,1004,54,12550,9.63,8,5.38,4.47,2001,"Utah"
"148",46,88,2986,979,117,15257,19.57,6.42,11.95,3.92,2001,"Nevada"
"149",47,91,1609,1029,121,14257,11.29,7.22,11.76,7.52,2001,"Washington"
"150",48,92,1415,1271,113,13515,10.47,9.4,8.89,7.99,2001,"Oregon"
