"","GEOID","CSAFP","CBSAFP","NAME","NAMELSAD","LSAD","MEMI","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON","ENTRE","IMMIG","ImmiEnter","TOTAL","IMMIGRate","EntreRate","ImmigOwnEntreRate"
"1",39900,456,39900,"Reno, NV","Reno, NV Metro Area","M1",1,"G3110",17004051224,623033216,40.5007953,-119.7311608,185,459,25,2459,18.6661244408296,7.52338348922326,1.01667344448963
"2",40140,348,40140,"Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA Metro Area","M1",1,"G3110",70612017093,374752982,34.5375344,-116.1309212,518,2264,142,8119,27.8852075378741,6.3800960709447,1.74898386500801
"3",40420,466,40420,"Rockford, IL","Rockford, IL Metro Area","M1",1,"G3110",2056847303,18446904,42.331183,-89.0429139,48,85,0,957,8.88192267502612,5.01567398119122,0
"4",43900,273,43900,"Spartanburg, SC","Spartanburg, SC Metro Area","M1",1,"G3110",3424313941,34016289,34.8346199,-81.8424008,79,55,13,814,6.75675675675676,9.7051597051597,1.5970515970516
"5",45060,532,45060,"Syracuse, NY","Syracuse, NY Metro Area","M1",1,"G3110",6176907940,1020646108,43.0065163,-76.1961336,107,83,1,1426,5.82047685834502,7.50350631136045,0.0701262272089762
"6",42220,488,42220,"Santa Rosa, CA","Santa Rosa, CA Metro Area","M1",1,"G3110",4081401191,497545934,38.5251824,-122.9261095,109,269,12,1194,22.5293132328308,9.12897822445561,1.00502512562814
"7",41420,440,41420,"Salem, OR","Salem, OR Metro Area","M1",1,"G3110",4977573456,34719240,44.9033845,-122.9017571,91,192,8,1376,13.953488372093,6.61337209302326,0.581395348837209
"8",41860,488,41860,"San Francisco-Oakland-Hayward, CA","San Francisco-Oakland-Hayward, CA Metro Area","M1",1,"G3110",6417203879,2456442138,37.7737185,-122.2744317,831,3411,227,10036,33.9876444798725,8.2801913112794,2.26185731367079
"9",42100,488,42100,"Santa Cruz-Watsonville, CA","Santa Cruz-Watsonville, CA Metro Area","M1",1,"G3110",1152967332,419570851,37.0124883,-122.007205,47,112,7,575,19.4782608695652,8.17391304347826,1.21739130434783
"10",42660,500,42660,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma-Bellevue, WA Metro Area","M1",1,"G3110",15209110951,1132535454,47.5530503,-121.8831653,664,1884,145,9345,20.1605136436597,7.10540395933654,1.55163188871054
"11",41940,488,41940,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA Metro Area","M1",1,"G3110",6938387443,40386344,36.9084718,-121.3713721,334,1940,115,4749,40.8507054116656,7.03305959149295,2.42156243419667
"12",41500,NA,41500,"Salinas, CA","Salinas, CA Metro Area","M1",1,"G3110",8496731189,1270747397,36.240107,-121.3155723,96,360,45,891,40.4040404040404,10.7744107744108,5.05050505050505
"13",44700,488,44700,"Stockton-Lodi, CA","Stockton-Lodi, CA Metro Area","M1",1,"G3110",3603647025,91127543,37.9349815,-121.272244,91,410,13,1315,31.1787072243346,6.92015209125475,0.988593155893536
"14",40900,472,40900,"Sacramento--Roseville--Arden-Arcade, CA","Sacramento--Roseville--Arden-Arcade, CA Metro Area","M1",1,"G3110",13195191548,548573735,38.7896779,-121.0057504,311,1063,86,4543,23.398635263042,6.84569667620515,1.89302223200528
"15",42020,NA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","M1",1,"G3110",8548549787,815580311,35.3852263,-120.4475418,70,71,4,640,11.09375,10.9375,0.625
"16",44060,518,44060,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley, WA Metro Area","M1",1,"G3110",14611513157,272295323,48.1890407,-117.5732186,110,49,3,1048,4.67557251908397,10.4961832061069,0.286259541984733
"17",41740,NA,41740,"San Diego-Carlsbad, CA","San Diego-Carlsbad, CA Metro Area","M1",1,"G3110",10895227071,826282961,33.0236041,-116.7761174,505,1861,119,6528,28.5079656862745,7.7359068627451,1.82291666666667
"18",41620,482,41620,"Salt Lake City, UT","Salt Lake City, UT Metro Area","M1",1,"G3110",19901615700,1055940277,40.5727871,-112.9531375,340,599,24,4625,12.9513513513514,7.35135135135135,0.518918918918919
"19",42140,106,42140,"Santa Fe, NM","Santa Fe, NM Metro Area","M1",1,"G3110",4945412532,3645423,35.5143241,-105.9657706,59,63,5,407,15.4791154791155,14.4963144963145,1.22850122850123
"20",41700,NA,41700,"San Antonio-New Braunfels, TX","San Antonio-New Braunfels, TX Metro Area","M1",1,"G3110",18939886213,150518692,29.4330599,-98.6069734,255,636,44,4079,15.5920568766855,6.2515322382937,1.0786957587644
"21",43620,NA,43620,"Sioux Falls, SD","Sioux Falls, SD Metro Area","M1",1,"G3110",6671079051,27077952,43.4954205,-96.9953387,305,303,6,4011,7.55422587883321,7.60408875592122,0.149588631264024
"22",41060,378,41060,"St. Cloud, MN","St. Cloud, MN Metro Area","M1",1,"G3110",4535657122,134115189,45.5930312,-94.4883635,63,83,2,668,12.4251497005988,9.4311377245509,0.29940119760479
"23",43340,NA,43340,"Shreveport-Bossier City, LA","Shreveport-Bossier City, LA Metro Area","M1",1,"G3110",8257355725,324450049,32.4906379,-93.6711914,27,68,4,770,8.83116883116883,3.50649350649351,0.519480519480519
"24",44180,520,44180,"Springfield, MO","Springfield, MO Metro Area","M1",1,"G3110",7787627619,35981602,37.3608699,-93.1802617,64,28,0,1040,2.69230769230769,6.15384615384615,0
