NAME,ENTRE,IMMIG,ImmiEnter,TOTAL,GEOID,INTPTLAT,INTPTLON,IMMIGRate,EntreRate,ImmigOwnEntreRate,year,metro,state
"Bridgeport-Stamford-Norwalk, CT",209,703,69,2352,14860,41.2274128,-73.3670614,29.88945578,8.886054422,33.01435407,2017,Bridgeport-Stamford-Norwalk,CT
"Burlington-South Burlington, VT",343,262,26,4080,15540,44.6891168,-73.0411707,6.421568627,8.406862745,7.580174927,2017,Burlington-South Burlington,VT
"Boston-Cambridge-Newton, MA-NH",1050,3441,235,16560,14460,42.517606,-71.0219925,20.77898551,6.34057971,22.38095238,2017,Boston-Cambridge-Newton,MA-NH
"Barnstable Town, MA",32,44,2,408,12700,41.7988188,-70.2110827,10.78431373,7.843137255,6.25,2017,Barnstable Town,MA
"Lewiston-Auburn, ME",53,28,2,608,30340,44.1676811,-70.2074347,4.605263158,8.717105263,3.773584906,2017,Lewiston-Auburn,ME
"Bangor, ME",48,25,0,821,12620,45.4092789,-68.6665979,3.045066991,5.846528624,0,2017,Bangor,ME
"Redding, CA",36,10,3,571,39820,40.7605142,-122.0435556,1.751313485,6.304728546,8.333333333,2016,Redding,CA
"Riverside-San Bernardino-Ontario, CA",531,2528,175,8637,40140,34.5375344,-116.1309212,29.26942225,6.147968044,32.9566855,2016,Riverside-San Bernardino-Ontario,CA
"Rockford, IL",73,99,8,726,40420,42.331183,-89.0429139,13.63636364,10.05509642,10.95890411,2016,Rockford,IL
"Spartanburg, SC",35,78,7,723,43900,34.8346199,-81.8424008,10.78838174,4.840940526,20,2016,Spartanburg,SC
"Syracuse, NY",53,107,0,1430,45060,43.0065163,-76.1961336,7.482517483,3.706293706,0,2016,Syracuse,NY
"Santa Rosa, CA",81,177,33,824,42220,38.5251824,-122.9261095,21.48058252,9.830097087,40.74074074,2016,Santa Rosa,CA
"Salem, OR",69,233,8,1273,41420,44.9033845,-122.9017571,18.30322074,5.420267086,11.5942029,2016,Salem,OR
"San Francisco-Oakland-Hayward, CA",791,3488,309,9900,41860,37.7737185,-122.2744317,35.23232323,7.98989899,39.06447535,2016,San Francisco-Oakland-Hayward,CA
"Santa Cruz-Watsonville, CA",66,121,6,728,42100,37.0124883,-122.007205,16.62087912,9.065934066,9.090909091,2016,Santa Cruz-Watsonville,CA
"Seattle-Tacoma-Bellevue, WA",555,1950,133,8781,42660,47.5530503,-121.8831653,22.20703792,6.32046464,23.96396396,2016,Seattle-Tacoma-Bellevue,WA
"San Jose-Sunnyvale-Santa Clara, CA",180,1977,87,4276,41940,36.9084718,-121.3713721,46.23479888,4.209541628,48.33333333,2016,San Jose-Sunnyvale-Santa Clara,CA
"Salinas, CA",55,329,10,819,41500,36.240107,-121.3155723,40.17094017,6.715506716,18.18181818,2016,Salinas,CA
